Frame,Time,Object,VertexID,X,Y,Z,R,G,B
0,0.000,U3DMesh,427,-95.7343,231.8531,-45.6457,162,152,143
0,0.000,U3DMesh,429,-72.6928,218.7826,-64.4107,154,145,140
0,0.000,U3DMesh,432,-85.5839,175.9903,-67.2217,160,151,142
0,0.000,U3DMesh,434,-97.2249,174.0589,-60.8328,116,109,103
0,0.000,U3DMesh,437,-107.7013,208.1091,-45.2676,148,139,130
0,0.000,U3DMesh,438,-103.1699,153.0983,-24.9588,120,111,102
0,0.000,U3DMesh,440,-106.8637,173.8184,-44.3067,109,99,97
0,0.000,U3DMesh,443,-115.4460,195.7207,-16.4472,142,133,124
0,0.000,U3DMesh,444,-113.6388,173.8324,-25.6941,119,110,101
0,0.000,U3DMesh,447,-113.6743,211.6089,-33.4210,134,125,116
0,0.000,U3DMesh,448,-115.3917,213.9332,-19.0542,149,139,130
0,0.000,U3DMesh,453,-103.8516,181.6101,-10.2808,111,101,99
0,0.000,U3DMesh,455,-108.4781,228.8572,-10.1923,183,174,169
0,0.000,U3DMesh,457,-105.1909,239.1011,-20.8180,171,162,155
0,0.000,U3DMesh,462,-133.5528,227.1134,-20.4132,165,157,146
0,0.000,U3DMesh,474,-157.6217,226.0248,-4.0176,151,141,129
0,0.000,U3DMesh,475,-157.5606,221.7689,-15.8538,146,139,121
0,0.000,U3DMesh,476,-179.0217,201.9823,-21.1847,137,123,110
0,0.000,U3DMesh,2526,153.5898,219.6228,-54.2423,133,124,119
0,0.000,U3DMesh,480,-170.5793,208.2093,-20.9893,129,117,103
0,0.000,U3DMesh,485,-191.0564,206.1179,-1.3679,156,144,132
0,0.000,U3DMesh,486,-207.5483,194.4521,-0.0451,150,138,126
0,0.000,U3DMesh,2533,193.6348,226.0422,-26.6885,141,132,123
0,0.000,U3DMesh,488,-202.3175,184.9618,-21.8650,130,116,105
0,0.000,U3DMesh,489,-204.7397,177.0637,12.8959,125,113,99
0,0.000,U3DMesh,490,-216.8882,158.0011,11.5460,110,104,92
0,0.000,U3DMesh,2536,179.3879,243.4934,-37.0219,142,133,124
0,0.000,U3DMesh,492,-209.9029,182.1800,11.1986,165,153,139
0,0.000,U3DMesh,493,-184.1059,191.7643,11.7911,120,112,99
0,0.000,U3DMesh,494,-150.1973,214.2893,7.9558,132,122,110
0,0.000,U3DMesh,2540,203.7269,246.3664,-21.7783,158,151,145
0,0.000,U3DMesh,496,-160.7671,201.3574,5.1748,115,105,95
0,0.000,U3DMesh,2539,208.6658,259.6565,-21.9504,170,158,144
0,0.000,U3DMesh,498,-188.2329,198.4041,8.2314,139,130,115
0,0.000,U3DMesh,500,-234.5386,140.9151,9.7432,169,161,150
0,0.000,U3DMesh,501,-228.4106,138.1548,11.8168,110,102,91
0,0.000,U3DMesh,502,-246.6830,122.3372,7.3077,120,107,98
0,0.000,U3DMesh,511,-44.3259,1.3201,-35.2738,64,48,33
0,0.000,U3DMesh,512,-224.1918,110.9080,3.3733,95,81,70
0,0.000,U3DMesh,513,-216.9590,130.9904,6.2718,111,103,92
0,0.000,U3DMesh,514,-206.0041,152.6585,6.2460,117,109,98
0,0.000,U3DMesh,517,-160.4631,199.2023,-5.9383,137,124,107
0,0.000,U3DMesh,2582,231.5644,269.1086,-30.4581,99,88,82
0,0.000,U3DMesh,541,178.4793,183.0432,-3.5836,118,109,104
0,0.000,U3DMesh,542,178.7491,177.7081,-12.3941,147,137,128
0,0.000,U3DMesh,543,184.0845,184.1546,-11.7660,177,168,161
0,0.000,U3DMesh,2593,253.4734,242.8354,-23.6145,73,69,66
0,0.000,U3DMesh,546,163.5590,169.9067,5.0114,126,117,112
0,0.000,U3DMesh,547,170.0003,181.1261,4.2806,142,133,128
0,0.000,U3DMesh,548,163.9910,185.0103,12.6892,158,149,144
0,0.000,U3DMesh,550,155.0167,193.4517,20.9375,170,161,156
0,0.000,U3DMesh,551,158.3496,202.6065,18.6734,152,143,134
0,0.000,U3DMesh,554,154.6096,152.0514,6.0551,187,178,173
0,0.000,U3DMesh,556,147.0624,147.9893,19.4244,186,177,168
0,0.000,U3DMesh,558,149.7867,149.7118,-6.0136,102,92,90
0,0.000,U3DMesh,561,141.2919,174.3289,27.6179,161,152,145
0,0.000,U3DMesh,563,142.2313,187.7225,24.4771,158,149,140
0,0.000,U3DMesh,564,133.1751,151.0652,25.4523,136,127,118
0,0.000,U3DMesh,565,127.3655,186.9103,28.1241,163,156,150
0,0.000,U3DMesh,568,118.5407,154.4025,21.9710,133,124,117
0,0.000,U3DMesh,569,117.1354,144.7410,20.8867,142,133,128
0,0.000,U3DMesh,570,131.8995,141.0129,23.9050,131,121,112
0,0.000,U3DMesh,571,113.1939,167.2530,26.5348,149,140,131
0,0.000,U3DMesh,576,84.2840,155.3527,13.2609,152,143,134
0,0.000,U3DMesh,577,84.1807,174.8077,24.7235,149,140,131
0,0.000,U3DMesh,578,64.1925,152.6351,18.5253,142,133,124
0,0.000,U3DMesh,579,40.6489,150.3191,20.5127,135,126,119
0,0.000,U3DMesh,580,37.9118,139.1237,2.8897,160,151,142
0,0.000,U3DMesh,581,64.7488,140.3849,0.9343,158,149,140
0,0.000,U3DMesh,582,85.8168,143.7821,-1.9051,148,139,130
0,0.000,U3DMesh,583,103.0321,145.4018,-4.7065,129,120,111
0,0.000,U3DMesh,585,-27.6190,164.8094,3.1521,151,142,133
0,0.000,U3DMesh,586,-14.1050,153.2457,2.9418,162,153,144
0,0.000,U3DMesh,587,-15.9857,148.8496,-14.6014,151,147,138
0,0.000,U3DMesh,588,12.4259,142.7645,2.8251,161,152,143
0,0.000,U3DMesh,589,-42.2867,167.4728,-2.2771,133,124,115
0,0.000,U3DMesh,591,-58.8348,161.8709,-4.1407,146,134,122
0,0.000,U3DMesh,593,-54.2684,153.1775,4.0279,142,132,123
0,0.000,U3DMesh,597,-60.3245,128.8452,16.8576,143,133,124
0,0.000,U3DMesh,600,-50.2135,139.4799,17.5556,147,138,129
0,0.000,U3DMesh,602,-91.4933,106.0967,24.7179,131,121,111
0,0.000,U3DMesh,603,-84.0967,114.9177,29.2378,112,101,97
0,0.000,U3DMesh,607,-77.1224,121.7992,32.2308,110,101,96
0,0.000,U3DMesh,609,-88.9277,131.7189,33.5210,129,120,115
